Target1,Target2,Mean
rec.motorcycles,talk.politics.mideast,6.506522902815351e-07
rec.motorcycles,talk.politics.misc,7.999547296547127e-07
rec.motorcycles,talk.religion.misc,7.141185468756341e-07
rec.sport.baseball,alt.atheism,7.327994278083992e-07
rec.sport.baseball,comp.graphics,5.663764583299025e-07
rec.sport.baseball,comp.os.ms-windows.misc,5.747804197614807e-07
rec.sport.baseball,comp.sys.ibm.pc.hardware,5.892270520952445e-07
rec.sport.baseball,comp.sys.mac.hardware,6.089583236665128e-07
rec.sport.baseball,comp.windows.x,5.255593524844252e-07
rec.sport.baseball,misc.forsale,6.099859770888664e-07
rec.sport.baseball,rec.autos,7.141022319361072e-07
rec.sport.baseball,rec.motorcycles,7.067081765128015e-07
rec.sport.baseball,rec.sport.baseball,1.7172978037663865e-06
rec.sport.baseball,rec.sport.hockey,1.2667504927192094e-06
rec.sport.baseball,sci.crypt,7.163317348423609e-07
rec.sport.baseball,sci.electronics,6.307066026037793e-07
rec.sport.baseball,sci.med,6.592208963014442e-07
rec.sport.baseball,sci.space,6.8768305923802e-07
rec.sport.baseball,soc.religion.christian,6.952317494780524e-07
rec.sport.baseball,talk.politics.guns,8.108184177668763e-07
rec.sport.baseball,talk.politics.mideast,6.790771207686829e-07
rec.sport.baseball,talk.politics.misc,7.961535047899474e-07
rec.sport.baseball,talk.religion.misc,7.362799783854157e-07
rec.sport.hockey,alt.atheism,7.033963298161654e-07
rec.sport.hockey,comp.graphics,5.315942239515289e-07
rec.sport.hockey,comp.os.ms-windows.misc,5.149547277999269e-07
rec.sport.hockey,comp.sys.ibm.pc.hardware,5.542258422943467e-07
rec.sport.hockey,comp.sys.mac.hardware,5.79912563841495e-07
rec.sport.hockey,comp.windows.x,4.830264509497392e-07
rec.sport.hockey,misc.forsale,6.051065631447135e-07
rec.sport.hockey,rec.autos,6.83767747977493e-07
rec.sport.hockey,rec.motorcycles,6.712615887834278e-07
rec.sport.hockey,rec.sport.baseball,1.26675049271921e-06
rec.sport.hockey,rec.sport.hockey,2.2662440794984005e-06
rec.sport.hockey,sci.crypt,6.670564107487918e-07
rec.sport.hockey,sci.electronics,5.937508482188753e-07
rec.sport.hockey,sci.med,6.094021826658979e-07
rec.sport.hockey,sci.space,6.695104373297271e-07
rec.sport.hockey,soc.religion.christian,6.761310464843997e-07
rec.sport.hockey,talk.politics.guns,7.690478890291706e-07
rec.sport.hockey,talk.politics.mideast,6.437563965659744e-07
rec.sport.hockey,talk.politics.misc,7.842422004223751e-07
rec.sport.hockey,talk.religion.misc,6.781392684399474e-07
sci.crypt,alt.atheism,9.559608839564509e-07
sci.crypt,comp.graphics,7.975397974999238e-07
sci.crypt,comp.os.ms-windows.misc,7.772812201579401e-07
sci.crypt,comp.sys.ibm.pc.hardware,8.437021289153884e-07
sci.crypt,comp.sys.mac.hardware,8.220222466862668e-07
sci.crypt,comp.windows.x,8.06381516694747e-07
sci.crypt,misc.forsale,6.73373128253407e-07
sci.crypt,rec.autos,8.221060437043041e-07
sci.crypt,rec.motorcycles,7.564243109211266e-07
sci.crypt,rec.sport.baseball,7.16331734842361e-07
sci.crypt,rec.sport.hockey,6.670564107487918e-07
sci.crypt,sci.crypt,3.071936681007881e-06
sci.crypt,sci.electronics,9.001709220554538e-07
sci.crypt,sci.med,7.978934851655406e-07
sci.crypt,sci.space,8.790361031332136e-07
sci.crypt,soc.religion.christian,8.775869786075928e-07
sci.crypt,talk.politics.guns,1.1680255755201528e-06
sci.crypt,talk.politics.mideast,8.77882860774778e-07
sci.crypt,talk.politics.misc,1.1311818680216937e-06
sci.crypt,talk.religion.misc,9.213185819531754e-07
sci.electronics,alt.atheism,6.548705345220972e-07
sci.electronics,comp.graphics,7.389580890963992e-07
sci.electronics,comp.os.ms-windows.misc,7.146796018942708e-07
sci.electronics,comp.sys.ibm.pc.hardware,8.547338629610698e-07
sci.electronics,comp.sys.mac.hardware,8.471315215840599e-07
sci.electronics,comp.windows.x,6.755113127624137e-07
sci.electronics,misc.forsale,7.394749918425076e-07
sci.electronics,rec.autos,7.913526167359719e-07
sci.electronics,rec.motorcycles,6.813730052190482e-07
sci.electronics,rec.sport.baseball,6.307066026037793e-07
sci.electronics,rec.sport.hockey,5.937508482188754e-07
sci.electronics,sci.crypt,9.001709220554536e-07
sci.electronics,sci.electronics,1.0938230174446088e-06
sci.electronics,sci.med,6.716587195471467e-07
sci.electronics,sci.space,7.476570104055908e-07
sci.electronics,soc.religion.christian,6.498141600789817e-07
sci.electronics,talk.politics.guns,7.535374374861398e-07
sci.electronics,talk.politics.mideast,5.830667002700175e-07
sci.electronics,talk.politics.misc,7.090598159027786e-07
sci.electronics,talk.religion.misc,6.421925656758424e-07
sci.med,alt.atheism,8.111466321642752e-07
sci.med,comp.graphics,6.099948483381946e-07
